id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
79,yellowsaltcube,0,-0.4903999895,0.9472,-0.50039999,0.9472,-0.4233999896,0.9472,TOP,0.0091443776,-0.5049144821,0.863072492,-0.0091443776,-5.5394051009,0.3430283296,279.421235282,0.007934355,0.000010894,79
80,yellowsaltcube,0,-0.4253999897,0.47,-0.2843999895,0.47,-0.2773999892,0.47,SIDE,-0.4727614921,0.6326624846,0.3908085514,-0.4727614921,205.6929517095,-44.2841704621,142.6892320632,0.007410699,0.000013584,80
81,yellowsaltcube,0,-0.5983999914,0.9472,-0.4603999914,0.9472,-0.4543999911,0.9472,SIDE,-0.4727614921,0.6326624846,0.3908085514,-0.4727614921,205.6929517095,-44.2841704621,142.6892320632,0.008002327,0.000019376,81
82,yellowsaltcube,0,-0.4093999889,0.47,-0.2773999892,0.47,-0.2783999892,0.47,SIDE,0.5042752069,-0.3738100779,0.5930253427,-0.5042752069,-216.9527979385,42.1986466326,119.0943332874,0.008238274,0.000013525,82
83,yellowsaltcube,0,-0.5833999939,0.9472,-0.4543999911,0.9472,-0.4553999911,0.9472,SIDE,0.5042752069,-0.3738100779,0.5930253427,-0.5042752069,-216.9527979385,42.1986466326,119.0943332874,0.008046919,0.000015512,83
84,yellowsaltcube,0,-0.2333999871,0.47,-0.4903999895,0.9100000079,-0.274399989,0.5520000039,TOP,0.0091443776,0.863072492,0.5049144821,0.0091443776,-5.5419069789,0.3436833561,279.5212018404,0.019386608,0.000110814,84
85,yellowsaltcube,0,-0.1973999854,0.47,-0.7623999959,0.47,-0.6123999921,0.512000002,SIDE,0.5003683445,-0.5631487761,-0.4267628095,-0.5003683445,-24.4626153231,-195.4889682119,72.1733640834,0.003020004,0.00010099,85
86,yellowsaltcube,0,-0.4123999891,0.9472,-0.5053999902,0.9472,-0.4243999897,0.9472,TOP,0.0091443776,0.863072492,0.5049144821,0.0091443776,-5.5419069789,0.3436833561,279.5212018404,0.008264774,0.000008542,86
87,yellowsaltcube,0,-0.5153999907,0.9472,-0.4283999898,0.9472,-0.3853999878,0.9472,TOP,-2.7348476319878279e-17,0.967312866,-0.2532559576,0.0129321029,-5.6795102637,0.3797098092,285.0193622255,0.006538344,0.000008198,87
88,yellowsaltcube,0,-0.5023999901,0.9472,-0.43139999,0.9472,-0.3923999881,0.9472,SIDE,1.5117174403636026e-16,-0.105135111,-0.6705117564,0.7344117326,26.162593302,213.7332869203,57.9687176352,0.007943341,0.000009271,88
89,yellowsaltcube,0,-0.3253999882,0.47,-0.252399988,0.47,-0.2143999862,0.47,SIDE,1.8896468004545031e-16,-0.105135111,-0.6705117564,0.7344117326,26.162593302,213.7332869203,57.9687176352,0.00861283,0.000010958,89
90,yellowsaltcube,0,-0.4863999893,0.8730000061,-0.2593999883,0.4960000012,-0.2053999858,0.47,TOP,-2.7348476319878279e-17,0.967312866,-0.2532559576,0.0129321029,-5.6795102637,0.3797098092,285.0193622255,0.009642816,0.000061768,90
91,yellowsaltcube,0,-0.341399989,0.47,-0.2503999879,0.47,-0.2173999863,0.47,SIDE,0.707627699,-0.699973195,0.0964394419,1.9611708003264569e-17,-27.0149116314,-214.0139510028,72.1458017662,0.008073938,0.000011848,91
92,yellowsaltcube,0,-0.5183999909,0.9472,-0.4303999899,0.9472,-0.3913999881,0.9472,SIDE,0.707627699,-0.699973195,0.0964394419,0,-27.0149116314,-214.0139510028,72.1458017662,0.007244433,0.000015341,92
93,yellowsaltcube,0,-0.5363999917,0.934000009,-0.3143999877,0.554000004,-0.1773999877,0.47,TOP,0.0129321029,0.2532559576,0.967312866,2.7796811997253334e-17,-5.7270459467,0.392155312,286.9187268347,0.012243775,0.000065797,93
94,yellowsaltcube,0,-0.4183999894,0.47,-0.3323999885,0.47,-0.1493999864,0.47,SIDE,3.9223416006529151e-16,0.0964394419,0.699973195,0.707627699,-28.3524787894,-223.7222315433,72.131357342,0.007542417,0.000017652,94
95,yellowsaltcube,0,-0.5413999919,0.9472,-0.4623999915,0.9472,-0.3573999897,0.9472,TOP,0.0129321029,0.2532559576,0.967312866,2.7348476319878282e-17,-5.7270459467,0.392155312,286.9187268347,0.007986328,0.000008274,95
96,yellowsaltcube,0,-0.2683999888,0.9472,-0.8073999948,0.9472,-0.7243999941,0.9472,SIDE,0.5003683445,-0.5631487761,-0.4267628095,-0.5003683445,-31.2869373589,-245.0210103427,72.0996680442,0.004518343,0.000085463,96
97,yellowsaltcube,0,-0.5873999909,0.9472,-0.5073999903,0.9472,-0.3283999884,0.9472,SIDE,4.1184586806855595e-16,0.0964394419,0.699973195,0.707627699,-28.3524787894,-223.7222315433,72.131357342,0.008080626,0.000014297,97
98,yellowsaltcube,0,-0.2643999886,0.9472,-0.7943999942,0.9472,-0.7393999948,0.9472,SIDE,0.5193075163,0.3997816599,-0.5484651597,0.5193075163,30.208526256,239.5367086859,55.906222509,0.003533202,0.000049591,98
99,yellowsaltcube,0,-0.5713999934,0.9472,-0.5143999907,0.9472,-0.3243999882,0.9472,SIDE,0.7344117326,0.6705117564,-0.105135111,-1.1337880802727021e-16,26.872947919,218.2636585288,57.6066001824,0.006814307,0.00001286,99
100,yellowsaltcube,0,-0.4023999886,0.47,-0.3403999889,0.47,-0.1433999861,0.47,SIDE,0.7344117326,0.6705117564,-0.105135111,-9.4482340022725179e-17,26.872947919,218.2636585288,57.6066001824,0.006605556,0.000013767,100
101,yellowsaltcube,1.221245327087672e-15,-0.1523999865,0.47,-0.632399993,0.47,-0.564399993,0.47,SIDE,0.5193075163,0.3997816599,-0.5484651597,0.5193075163,30.208526256,239.5367086859,55.906222509,0.003498461,0.000090468,101
102,yellowsaltcube,0,-0.1433999861,0.47,-0.6423999935,0.47,-0.5453999921,0.47,SIDE,0.5003683445,-0.5631487761,-0.4267628095,-0.5003683445,-31.2869373589,-245.0210103427,72.0996680442,0.003092809,0.000060076,102
103,yellowsaltcube,0,-0.5143999907,0.9472,-0.4143999892,0.9472,-0.3853999878,0.9472,SIDE,-7.9189483156236629e-17,-0.137925536,-0.6997053114,0.7009914577,33.0381603774,210.6406248223,125.5501729147,0.00860096,0.000010709,103
104,yellowsaltcube,0,-0.3393999889,0.47,-0.2353999872,0.47,-0.2063999858,0.47,SIDE,-5.9392112367177484e-17,-0.137925536,-0.6997053114,0.7009914577,33.0381603774,210.6406248223,125.5501729147,0.009632044,0.000015943,104
105,yellowsaltcube,0,-0.3403999889,0.47,-0.1993999855,0.47,-0.2433999876,0.47,SIDE,0.7013839998,-0.6962103611,0.152812362,1.1871774502478618e-16,-42.0882657195,-214.3505888736,125.4157799373,0.006905165,0.000011916,105
106,yellowsaltcube,0,-0.5163999908,0.9472,-0.3793999908,0.9472,-0.4203999895,0.9472,SIDE,0.7013839998,-0.6962103611,0.152812362,1.1871774502478618e-16,-42.0882657195,-214.3505888736,125.4157799373,0.007889831,0.000011401,106
